status,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,time/episodes,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/loss,train/dqn_loss,train/learning_rate,train/cql_loss
-1.0,46989,9439,0.05,144,4,-223.312022,5.0,45988,24.079221725463867,23.254186630249023,0.0001,0.8250352144241333
0.0,47489,9539,0.05,145,4,322.429588,500.0,46488,35.94649124145508,35.296470642089844,0.0001,0.6500202417373657
0.0,47989,9639,0.05,146,4,337.339917,500.0,46988,12.75904655456543,12.161234855651855,0.0001,0.5978114008903503
1.0,48029,9648,0.05,147,4,369.255943,40.0,47028,22.043006896972656,21.347999572753906,0.0001,0.6950077414512634
1.0,48114,9665,0.05,148,4,500.042469,85.0,47113,23.914634704589844,23.262508392333984,0.0001,0.6521254181861877
1.0,48247,9692,0.05,149,4,654.274753,133.0,47246,13.931118965148926,13.254196166992188,0.0001,0.6769230961799622
1.0,48355,9714,0.05,150,4,649.963181,108.0,47354,21.323421478271484,20.733314514160156,0.0001,0.5901077389717102
0.0,48855,9814,0.05,151,4,201.524818,500.0,47854,24.285804748535156,23.534982681274414,0.0001,0.7508218884468079
1.0,48884,9820,0.05,152,4,359.682013,29.0,47883,13.031328201293945,12.298093795776367,0.0001,0.733234167098999
0.0,49384,9920,0.05,153,4,2451.593276,500.0,48383,19.480398178100586,18.728958129882812,0.0001,0.7514393329620361
1.0,49524,9948,0.05,154,4,814.356217,140.0,48523,30.09222412109375,29.48529052734375,0.0001,0.6069334745407104
1.0,49632,9970,0.05,155,4,727.066003,108.0,48631,26.113672256469727,25.2921199798584,0.0001,0.8215519189834595
0.0,50132,10071,0.05,156,4,646.575848,500.0,49131,25.15996551513672,24.43004608154297,0.0001,0.7299196124076843
1.0,50164,10077,0.05,157,4,385.83349,32.0,49163,22.032407760620117,21.457782745361328,0.0001,0.5746252536773682
1.0,50221,10089,0.05,158,4,481.692319,57.0,49220,20.009483337402344,19.454559326171875,0.0001,0.5549246668815613
0.0,50721,10189,0.05,159,4,431.011576,500.0,49720,14.550222396850586,13.874588012695312,0.0001,0.6756342649459839
1.0,50841,10213,0.05,160,4,790.874689,120.0,49840,17.853778839111328,17.11492919921875,0.0001,0.7388501167297363
1.0,50896,10225,0.05,161,4,445.636029,55.0,49895,14.968477249145508,14.399051666259766,0.0001,0.5694258213043213
-1.0,50901,10226,0.05,162,4,-203.992761,5.0,49900,13.211758613586426,12.739219665527344,0.0001,0.47253936529159546
0.0,51401,10326,0.05,163,4,243.118886,500.0,50400,18.95254898071289,18.37366485595703,0.0001,0.5788832902908325
0.0,51901,10426,0.05,164,4,415.783345,500.0,50900,14.990943908691406,14.327625274658203,0.0001,0.6633188128471375
1.0,51941,10435,0.05,165,4,365.376165,40.0,50940,17.35059928894043,16.343170166015625,0.0001,1.0074292421340942
0.0,52441,10535,0.05,166,4,373.620154,500.0,51440,17.251100540161133,16.657440185546875,0.0001,0.5936611294746399
1.0,52559,10559,0.05,167,4,704.621825,118.0,51558,19.348365783691406,18.875316619873047,0.0001,0.47304922342300415
1.0,52873,10622,0.05,168,4,913.748562,314.0,51872,12.015487670898438,11.32158088684082,0.0001,0.6939071416854858
1.0,52963,10640,0.05,169,4,589.329508,90.0,51962,17.620576858520508,17.084796905517578,0.0001,0.5357807874679565
0.0,53463,10741,0.05,170,4,213.282142,500.0,52462,20.505800247192383,19.80937957763672,0.0001,0.6964205503463745
0.0,53963,10841,0.05,171,4,695.07706,500.0,52962,17.62168312072754,16.637779235839844,0.0001,0.9839032888412476
0.0,54463,10941,0.05,172,4,465.37623,500.0,53462,12.691496849060059,12.13684368133545,0.0001,0.5546529293060303
1.0,54563,10961,0.05,173,4,708.957203,100.0,53562,14.1618013381958,13.436073303222656,0.0001,0.7257280945777893
0.0,55063,11062,0.05,174,4,477.680506,500.0,54062,13.84653091430664,13.116750717163086,0.0001,0.7297801971435547
1.0,55167,11083,0.05,175,4,654.931079,104.0,54166,11.334139823913574,10.507158279418945,0.0001,0.8269816637039185
