time/fps,rollout/exploration_rate,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_len_mean,status,train/loss,train/learning_rate,train/n_updates
4,0.05,168.873688,19152,3864,138,500.0,0.0,4.066252708435059,0.0001,9151
4,0.05,234.86073,19652,3965,139,500.0,0.0,3.333205223083496,0.0001,9651
4,0.05,634.647014,19736,3982,140,84.0,1.0,4.7645263671875,0.0001,9735
4,0.05,697.122467,19846,4004,141,110.0,1.0,3.485713005065918,0.0001,9845
4,0.05,413.597587,20346,4104,142,500.0,0.0,3.716597557067871,0.0001,10345
4,0.05,62.453713,20846,4205,143,500.0,0.0,3.873321056365967,0.0001,10845
4,0.05,335.443833,21346,4305,144,500.0,0.0,3.918552875518799,0.0001,11345
4,0.05,23.378243,21846,4405,145,500.0,0.0,3.9678308963775635,0.0001,11845
4,0.05,302.891706,21863,4409,146,17.0,1.0,3.7671618461608887,0.0001,11862
4,0.05,360.701547,22363,4509,147,500.0,0.0,3.7030880451202393,0.0001,12362
4,0.05,-142.697125,22374,4512,148,11.0,-1.0,4.328781604766846,0.0001,12373
4,0.05,179.262221,22874,4612,149,500.0,0.0,5.007446765899658,0.0001,12873
4,0.05,296.965485,23374,4713,150,500.0,0.0,4.068470001220703,0.0001,13373
4,0.05,209.592754,23874,4813,151,500.0,0.0,3.914233684539795,0.0001,13873
4,0.05,136.699548,24374,4913,152,500.0,0.0,3.543498992919922,0.0001,14373
4,0.05,227.815198,24874,5014,153,500.0,0.0,3.9037818908691406,0.0001,14873
4,0.05,64.484847,25374,5114,154,500.0,0.0,3.823573589324951,0.0001,15373
4,0.05,463.147166,25677,5175,155,303.0,1.0,4.1776628494262695,0.0001,15676
4,0.05,-9.221069,26177,5275,156,500.0,0.0,4.085176944732666,0.0001,16176
4,0.05,540.140866,26253,5291,157,76.0,1.0,3.647204875946045,0.0001,16252
4,0.05,824.422405,26390,5318,158,137.0,1.0,3.452260971069336,0.0001,16389
4,0.05,753.941761,26540,5348,159,150.0,1.0,4.2969970703125,0.0001,16539
4,0.05,443.11064,26642,5369,160,102.0,1.0,4.1225905418396,0.0001,16641
4,0.05,351.627495,27142,5469,161,500.0,0.0,3.4941930770874023,0.0001,17141
4,0.05,744.863086,27642,5570,162,500.0,0.0,3.300785541534424,0.0001,17641
4,0.05,661.474549,28142,5670,163,500.0,0.0,3.719395160675049,0.0001,18141
4,0.05,638.073823,28245,5691,164,103.0,1.0,4.051175117492676,0.0001,18244
4,0.05,91.954562,28359,5714,165,114.0,-1.0,3.805048704147339,0.0001,18358
4,0.05,742.259052,28525,5747,166,166.0,1.0,4.324837684631348,0.0001,18524
4,0.05,919.381374,28650,5773,167,125.0,1.0,3.272650718688965,0.0001,18649
4,0.05,819.547178,28816,5806,168,166.0,1.0,3.6423630714416504,0.0001,18815
4,0.05,372.441751,28957,5835,169,141.0,-1.0,3.758260726928711,0.0001,18956
4,0.05,445.294579,29004,5844,170,47.0,1.0,3.166985511779785,0.0001,19003
4,0.05,411.201398,29048,5853,171,44.0,1.0,3.1323819160461426,0.0001,19047
4,0.05,414.207517,29174,5879,172,126.0,1.0,3.873631000518799,0.0001,19173
4,0.05,774.379886,29281,5900,173,107.0,1.0,3.468506097793579,0.0001,19280
4,0.05,-218.004276,29285,5901,174,4.0,-1.0,3.1954269409179688,0.0001,19284
4,0.05,445.848528,29336,5912,175,51.0,1.0,2.7669763565063477,0.0001,19335
4,0.05,320.467006,29358,5916,176,22.0,1.0,3.089101791381836,0.0001,19357
4,0.05,840.235528,29483,5942,177,125.0,1.0,2.7670865058898926,0.0001,19482
4,0.05,543.001033,29583,5962,178,100.0,1.0,2.8057847023010254,0.0001,19582
4,0.05,686.208575,29689,5983,179,106.0,1.0,3.3992514610290527,0.0001,19688
4,0.05,825.331296,29805,6007,180,116.0,1.0,3.079096794128418,0.0001,19804
4,0.05,852.89893,29955,6037,181,150.0,1.0,2.8271942138671875,0.0001,19954
4,0.05,528.985711,30036,6054,182,81.0,1.0,3.0697503089904785,0.0001,20035
4,0.05,611.810147,30151,6077,183,115.0,1.0,3.1341676712036133,0.0001,20150
4,0.05,269.200888,30651,6177,184,500.0,0.0,3.260164260864258,0.0001,20650
4,0.05,608.288915,30729,6193,185,78.0,1.0,2.947373867034912,0.0001,20728
4,0.05,-186.893948,30736,6195,186,7.0,-1.0,3.4029078483581543,0.0001,20735
4,0.05,764.77465,30952,6238,187,216.0,1.0,3.005044937133789,0.0001,20951
4,0.05,862.186818,31120,6272,188,168.0,1.0,6.629374027252197,0.0001,21119
4,0.05,821.925137,31300,6308,189,180.0,1.0,2.9595704078674316,0.0001,21299
4,0.05,345.261821,31333,6315,190,33.0,1.0,3.200287342071533,0.0001,21332
4,0.05,419.098296,31641,6377,191,308.0,-1.0,2.6751327514648438,0.0001,21640
4,0.05,310.507292,31676,6384,192,35.0,1.0,3.5412213802337646,0.0001,21675
4,0.05,78.260281,32100,6469,193,424.0,-1.0,3.2055985927581787,0.0001,22099
4,0.05,548.161295,32600,6570,194,500.0,0.0,2.928743839263916,0.0001,22599
4,0.05,473.596793,32770,6604,195,170.0,1.0,3.181140422821045,0.0001,22769
4,0.05,825.289672,32932,6637,196,162.0,1.0,3.9078614711761475,0.0001,22931
4,0.05,848.771493,33074,6665,197,142.0,1.0,3.3287441730499268,0.0001,23073
4,0.05,600.436073,33159,6682,198,85.0,1.0,3.4197044372558594,0.0001,23158
4,0.05,-208.581683,33165,6684,199,6.0,-1.0,7.111350059509277,0.0001,23164
4,0.05,707.777777,33280,6707,200,115.0,1.0,6.77674674987793,0.0001,23279
4,0.05,-160.541914,33286,6709,201,6.0,-1.0,3.095733880996704,0.0001,23285
4,0.05,491.112148,33355,6723,202,69.0,1.0,3.5619564056396484,0.0001,23354
4,0.05,314.861894,33385,6729,203,30.0,1.0,2.876779317855835,0.0001,23384
4,0.05,627.722171,33486,6749,204,101.0,1.0,4.061115741729736,0.0001,23485
4,0.05,834.421605,33624,6777,205,138.0,1.0,2.9751992225646973,0.0001,23623
4,0.05,-200.21524,33628,6778,206,4.0,-1.0,3.2173190116882324,0.0001,23627
4,0.05,654.536108,33745,6802,207,117.0,1.0,3.90352463722229,0.0001,23744
4,0.05,426.709869,33804,6814,208,59.0,1.0,3.5862104892730713,0.0001,23803
4,0.05,846.225461,34043,6862,209,239.0,1.0,3.1427054405212402,0.0001,24042
4,0.05,-171.976453,34071,6868,210,28.0,-1.0,6.875847816467285,0.0001,24070
4,0.05,90.904231,34115,6877,211,44.0,-1.0,2.9710893630981445,0.0001,24114
4,0.05,185.38227,34177,6889,212,62.0,-1.0,3.7396020889282227,0.0001,24176
4,0.05,468.43585,34244,6903,213,67.0,1.0,2.7893614768981934,0.0001,24243
4,0.05,92.471267,34334,6921,214,90.0,-1.0,3.7095227241516113,0.0001,24333
4,0.05,465.001211,34401,6935,215,67.0,1.0,3.5445938110351562,0.0001,24400
4,0.05,726.216497,34539,6963,216,138.0,1.0,3.583385467529297,0.0001,24538
4,0.05,809.814738,34654,6986,217,115.0,1.0,5.9642415046691895,0.0001,24653
4,0.05,473.939411,34710,6997,218,56.0,1.0,3.193662643432617,0.0001,24709
4,0.05,371.706772,34738,7003,219,28.0,1.0,3.320903778076172,0.0001,24737
4,0.05,-176.404622,34745,7005,220,7.0,-1.0,2.986980676651001,0.0001,24744
4,0.05,633.467385,34876,7031,221,131.0,1.0,3.070631504058838,0.0001,24875
4,0.05,171.972882,34987,7054,222,111.0,-1.0,2.7202913761138916,0.0001,24986
4,0.05,735.915638,35117,7080,223,130.0,1.0,3.2432034015655518,0.0001,25116
4,0.05,568.999226,35200,7097,224,83.0,1.0,5.413780212402344,0.0001,25199
4,0.05,436.084928,35245,7106,225,45.0,1.0,3.4979419708251953,0.0001,25244
4,0.05,716.685949,35363,7130,226,118.0,1.0,3.1768836975097656,0.0001,25362
4,0.05,-15.954831,35398,7137,227,35.0,-1.0,3.070868968963623,0.0001,25397
4,0.05,404.117681,35463,7150,228,65.0,1.0,3.092146396636963,0.0001,25462
4,0.05,291.66573,35488,7156,229,25.0,1.0,2.996399402618408,0.0001,25487
4,0.05,331.766175,35533,7165,230,45.0,1.0,2.725149631500244,0.0001,25532
4,0.05,750.192216,35748,7208,231,215.0,1.0,2.495244026184082,0.0001,25747
4,0.05,550.504948,35832,7225,232,84.0,1.0,3.205479621887207,0.0001,25831
4,0.05,746.322143,35947,7248,233,115.0,1.0,2.8680038452148438,0.0001,25946
4,0.05,-84.29811,35967,7252,234,20.0,-1.0,3.0609755516052246,0.0001,25966
4,0.05,151.533368,36086,7277,235,119.0,-1.0,2.512984275817871,0.0001,26085
4,0.05,73.211911,36174,7294,236,88.0,-1.0,5.751099586486816,0.0001,26173
4,0.05,581.619975,36295,7319,237,121.0,1.0,2.1956145763397217,0.0001,26294
4,0.05,217.462018,36356,7331,238,61.0,-1.0,8.170204162597656,0.0001,26355
4,0.05,-188.661831,36359,7332,239,3.0,-1.0,5.675921440124512,0.0001,26358
4,0.05,-115.238524,36371,7335,240,12.0,-1.0,3.1726813316345215,0.0001,26370
4,0.05,750.845764,36474,7356,241,103.0,1.0,2.4571704864501953,0.0001,26473
4,0.05,654.341164,36610,7383,242,136.0,1.0,8.346221923828125,0.0001,26609
4,0.05,557.862299,36698,7401,243,88.0,1.0,5.522164344787598,0.0001,26697
4,0.05,401.90837,36763,7414,244,65.0,1.0,2.841485023498535,0.0001,26762
4,0.05,-188.443286,36780,7418,245,17.0,-1.0,2.412370204925537,0.0001,26779
4,0.05,746.445671,36925,7447,246,145.0,1.0,1.91012704372406,0.0001,26924
4,0.05,717.457041,37038,7470,247,113.0,1.0,2.457195281982422,0.0001,27037
4,0.05,212.749415,37167,7496,248,129.0,-1.0,3.0466771125793457,0.0001,27166
4,0.05,754.942137,37277,7518,249,110.0,1.0,1.9246680736541748,0.0001,27276
4,0.05,351.835876,37336,7530,250,59.0,1.0,11.486599922180176,0.0001,27335
