status,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,rollout/exploration_rate,time/time_elapsed,time/episodes,train/learning_rate,train/loss,train/n_updates
-1.0,-159.352052,39121,15.0,4,0.6283505000000005,7885,245,0.0001,6.73173713684082,29120
-1.0,-205.976827,39130,9.0,4,0.6282650000000001,7887,246,0.0001,7.28778076171875,29129
-1.0,173.53346,39220,90.0,4,0.6274099999999998,7906,247,0.0001,7.349864959716797,29219
1.0,766.605206,39361,141.0,4,0.6260705000000002,7934,248,0.0001,7.124221324920654,29360
1.0,876.683715,39628,267.0,4,0.623534,7988,249,0.0001,5.665124416351318,29627
-1.0,-239.332839,39641,13.0,4,0.6234104999999996,7991,250,0.0001,8.926433563232422,29640
0.0,329.174292,40141,500.0,4,0.6186605000000003,8091,251,0.0001,8.744621276855469,30140
1.0,713.910957,40244,103.0,4,0.6176820000000005,8112,252,0.0001,6.206498622894287,30243
-1.0,-180.735838,40250,6.0,4,0.6176249999999999,8113,253,0.0001,5.251683235168457,30249
1.0,343.343921,40283,33.0,4,0.6173115000000005,8120,254,0.0001,6.231142520904541,30282
1.0,628.256876,40377,94.0,4,0.6164185000000001,8139,255,0.0001,5.103478908538818,30376
0.0,125.547974,40877,500.0,4,0.6116684999999995,8239,256,0.0001,14.655508041381836,30876
1.0,432.961673,40947,70.0,4,0.6110035000000005,8254,257,0.0001,11.527582168579102,30946
-1.0,-147.055617,40958,11.0,4,0.6108989999999996,8256,258,0.0001,6.226935863494873,30957
-1.0,-48.088798,41005,47.0,4,0.6104525000000004,8266,259,0.0001,14.298095703125,31004
-1.0,-206.487681,41013,8.0,4,0.6103765000000003,8268,260,0.0001,10.254901885986328,31012
-1.0,147.71667,41132,119.0,4,0.6092460000000006,8292,261,0.0001,10.6118745803833,31131
-1.0,-337.679858,41400,268.0,4,0.6067000000000001,8345,262,0.0001,9.788389205932617,31399
-1.0,106.885857,41526,126.0,4,0.6055030000000005,8371,263,0.0001,6.399670124053955,31525
-1.0,44.945465,41620,94.0,4,0.6046100000000001,8390,264,0.0001,4.7256550788879395,31619
-1.0,-262.626974,41631,11.0,4,0.6045055000000004,8392,265,0.0001,4.6063456535339355,31630
1.0,451.850811,41846,215.0,4,0.6024629999999995,8436,266,0.0001,5.751768589019775,31845
1.0,464.297713,41902,56.0,4,0.6019310000000001,8447,267,0.0001,6.386801719665527,31901
1.0,695.84217,42132,230.0,4,0.5997459999999994,8493,268,0.0001,10.207033157348633,32131
1.0,796.091348,42258,126.0,4,0.5985489999999998,8519,269,0.0001,11.146711349487305,32257
